id,name,surname,sex,age,weight (kg),height (cm)
1,Person1,Surname1,Male,30,130.66,26.08
2,Person2,Surname2,Female,87,15.74,-19.33
3,Person3,Surname3,Female,37,80.44,-19.94
4,Person4,Surname4,Female,4,-2.03,270.14
5,Person5,Surname5,Female,31,170.27,171.42
6,Person6,Surname6,Female,79,-10.15,78.23
7,Person7,Surname7,Female,11,184.98,227.07
8,Person8,Surname8,Female,78,140.23,139.87
9,Person9,Surname9,Female,26,4.85,54.58
10,Person10,Surname10,Female,47,138.14,127.26
11,Person11,Surname11,Male,-6,129.05,240.93
12,Person12,Surname12,Male,81,134.53,139.6
13,Person13,Surname13,Male,8,-4.31,-48.8
14,Person14,Surname14,Male,25,144.34,-37.03
15,Person15,Surname15,Female,113,45.69,-94.72
16,Person16,Surname16,Female,64,-42.9,290.02
17,Person17,Surname17,Male,36,190.72,-190.96
18,Person18,Surname18,Male,107,135.15,-37.11
19,Person19,Surname19,Male,120,94.68,-44.09
20,Person20,Surname20,Male,96,4.24,-110.99
21,Person21,Surname21,Male,29,70.78,-23.18
22,Person22,Surname22,Female,85,-6.27,232.47
23,Person23,Surname23,Female,-4,171.2,84.52
24,Person24,Surname24,Female,54,7.51,-69.12
25,Person25,Surname25,Female,106,-19.33,194.53
26,Person26,Surname26,Male,38,64.28,283.08
27,Person27,Surname27,Male,3,-13.85,-183.53
28,Person28,Surname28,Male,2,195.89,-98.0
29,Person29,Surname29,Female,43,70.07,249.14
30,Person30,Surname30,Male,58,112.83,139.58
31,Person31,Surname31,Male,56,-9.07,-88.01
32,Person32,Surname32,Male,85,52.28,257.11
33,Person33,Surname33,Male,120,121.54,186.55
34,Person34,Surname34,Female,30,176.45,108.08
35,Person35,Surname35,Male,50,55.76,12.92
36,Person36,Surname36,Male,35,112.76,285.66
37,Person37,Surname37,Male,114,-38.77,-193.48
38,Person38,Surname38,Male,71,11.67,247.29
39,Person39,Surname39,Male,3,145.27,127.37
40,Person40,Surname40,Male,80,64.51,119.37
41,Person41,Surname41,Female,-7,41.81,-9.68
42,Person42,Surname42,Male,52,65.91,-150.96
43,Person43,Surname43,Female,86,40.91,236.0
44,Person44,Surname44,Male,60,112.49,-112.79
45,Person45,Surname45,Male,-9,68.74,97.88
46,Person46,Surname46,Male,44,154.89,-117.56
47,Person47,Surname47,Male,37,67.23,69.13
48,Person48,Surname48,Female,104,45.29,284.53
49,Person49,Surname49,Female,55,41.38,-96.26
50,Person50,Surname50,Male,91,22.61,-127.57
51,Person51,Surname51,Male,76,54.27,-17.37
52,Person52,Surname52,Female,-5,88.92,-91.14
53,Person53,Surname53,Male,120,44.68,84.01
54,Person54,Surname54,Female,95,162.24,-196.34
55,Person55,Surname55,Male,111,145.82,-104.79
56,Person56,Surname56,Male,104,189.49,263.94
57,Person57,Surname57,Male,17,194.29,49.1
58,Person58,Surname58,Female,94,55.92,-106.6
59,Person59,Surname59,Female,39,103.78,104.53
60,Person60,Surname60,Female,11,176.98,-91.12
61,Person61,Surname61,Female,-4,-7.42,220.66
62,Person62,Surname62,Male,-10,61.3,-8.07
63,Person63,Surname63,Male,26,145.39,38.9
64,Person64,Surname64,Male,63,31.51,237.33
65,Person65,Surname65,Male,79,108.31,-1.85
66,Person66,Surname66,Male,109,175.11,299.86
67,Person67,Surname67,Female,101,120.41,217.45
68,Person68,Surname68,Male,68,33.6,-7.96
69,Person69,Surname69,Male,103,97.08,194.77
70,Person70,Surname70,Female,102,-13.75,220.86
71,Person71,Surname71,Male,22,64.95,-101.7
72,Person72,Surname72,Female,108,55.67,-144.8
73,Person73,Surname73,Female,30,146.01,-82.39
74,Person74,Surname74,Male,107,155.88,137.03
75,Person75,Surname75,Female,104,49.65,32.31
76,Person76,Surname76,Male,72,41.52,-8.1
77,Person77,Surname77,Male,33,119.91,177.38
78,Person78,Surname78,Male,80,21.18,-169.12
79,Person79,Surname79,Female,69,13.61,149.27
80,Person80,Surname80,Female,105,-3.25,-1.51
81,Person81,Surname81,Female,16,177.17,-97.67
82,Person82,Surname82,Male,70,169.26,284.5
83,Person83,Surname83,Female,0,63.83,295.82
84,Person84,Surname84,Male,58,108.67,110.74
85,Person85,Surname85,Female,113,14.79,206.12
86,Person86,Surname86,Male,109,189.85,131.3
87,Person87,Surname87,Female,78,146.82,-28.73
88,Person88,Surname88,Female,111,54.93,-60.29
89,Person89,Surname89,Male,82,77.07,26.58
90,Person90,Surname90,Female,55,145.5,166.73
91,Person91,Surname91,Female,90,172.03,-93.36
92,Person92,Surname92,Male,30,-27.37,99.39
93,Person93,Surname93,Female,81,157.14,255.64
94,Person94,Surname94,Male,33,180.19,-19.54
95,Person95,Surname95,Female,52,182.69,210.97
96,Person96,Surname96,Male,40,190.05,69.47
97,Person97,Surname97,Female,27,73.19,240.99
98,Person98,Surname98,Male,-2,55.1,18.92
99,Person99,Surname99,Male,23,-39.68,104.31
100,Person100,Surname100,Male,62,55.47,204.01
